mode,scenario,wind_scenario,pv_scenario,storage_capacity_mwh,storage_power_mw,日产氨量,设备利用率,常规负荷需求电量,常规负荷缺供电量,常规负荷供电保障率,制氨工艺用电量,离网服务负荷电量,离网需求电量,风电发电量,光伏发电量,新能源可发电量,新能源实际利用电量,弃风弃光电量,弃风弃光率,风光利用率,储能充电量,储能放电量,储能等效吞吐量,储能损耗及自损耗估计,新能源上网电量比例,新能源自发自用比例（离网实际消纳口径）,总用电量绿电比例（离网需求保障口径）,风电成本,光伏成本,碱性电解槽运维成本,PEM电解槽运维成本,合成氨装置运维成本,储能年化投资成本,储能充放电运维成本,日总成本,吨氨成本,能源自治是否满足常规负荷
offgrid_storage,W1_PV1,1,1,5.0,5.0,41.188210792610136,0.5720584832306963,60.72,0.0,1.0,569.7702492977736,630.4902492977736,630.4902492977736,252.324,509.44000000000005,761.7640000000001,631.9966688933423,129.76733110665776,0.1703510944421865,0.8296489055578135,7.61846889334224,6.112049297773512,13.730518191115753,1.5064195955686728,0.0,0.8296489055578135,1.0,37848.6,61132.8,27458.807195073423,41188.21079261013,41.188210792610136,925.925925925926,137.30518191115752,168732.83730631325,4096.629449526533,1
offgrid_storage,W1_PV2,1,2,5.0,5.0,31.700523785908384,0.4402850525820609,60.72,0.0,1.0,438.52391237173276,499.2439123717328,499.2439123717328,252.324,250.88,503.204,500.7538,2.4502000000000024,0.004869198178074901,0.9951308018219251,7.5698876282673115,6.060000000000002,13.629887628267314,1.5098876282672222,0.0,0.9951308018219251,1.0,37848.6,30105.6,21133.682523938925,31700.523785908386,31.700523785908384,925.925925925926,136.29887628267315,121882.33163584182,3844.8049773241078,1
offgrid_storage,W1_PV3,1,3,5.0,5.0,19.939726416854025,0.27694064467852814,60.72,0.0,1.0,275.832882099814,336.55288209981404,336.55288209981404,252.324,85.12,337.444,337.444,0.0,0.0,1.0,4.343117900185995,3.452000000000002,7.795117900185998,0.891117900185975,0.0,1.0,1.0,37848.6,10214.4,13293.15094456935,19939.726416854024,19.939726416854025,925.925925925926,77.95117900185998,82319.69419276802,4128.426462420638,1
offgrid_storage,W1_PV4,1,4,5.0,5.0,15.247897485631455,0.21177635396710354,60.72,0.0,1.0,210.92924855123513,271.64924855123513,271.64924855123513,252.324,20.480000000000004,272.80400000000003,272.80400000000003,0.0,0.0,1.0,5.665599999999989,4.510848551235138,10.176448551235126,1.1547514487648982,0.0,1.0,1.0,37848.6,2457.6000000000004,10165.264990420972,15247.897485631456,15.247897485631457,925.925925925926,101.76448551235126,66762.30078497634,4378.4594464835845,1
offgrid_storage,W2_PV1,2,1,5.0,5.0,37.0721676570049,0.5148912174584014,60.72,0.0,1.0,512.8316525885677,573.5516525885678,573.5516525885678,149.464,509.44000000000005,658.904,574.8486688933423,84.05533110665775,0.12756840314622123,0.8724315968537788,6.588668893342239,5.291652588567744,11.880321481909982,1.2970163047745018,0.0,0.8724315968537788,1.0,22419.6,61132.8,24714.778438003264,37072.167657004895,37.0721676570049,925.925925925926,118.80321481909984,146421.1474034102,3949.62465529699,1
offgrid_storage,W2_PV2,2,2,5.0,5.0,24.505604190638763,0.3403556137588717,60.72,0.0,1.0,338.99419130383626,399.7141913038363,399.7141913038363,149.464,250.88,400.344,400.344,0.0,0.0,1.0,3.2242000000000006,2.594391303836216,5.818591303836216,0.6298086961637068,0.0,1.0,1.0,22419.6,30105.6,16337.069460425846,24505.60419063876,24.505604190638763,925.925925925926,58.18591303836216,94376.49109421954,3851.2207395511487,1
offgrid_storage,W2_PV3,2,3,5.0,5.0,12.522675216764384,0.17392604467728312,60.72,0.0,1.0,173.23034049857398,233.95034049857398,233.95034049857398,149.464,85.12,234.584,234.584,0.0,0.0,1.0,3.2242,2.590540498573996,5.814740498573997,0.633659501426024,0.0,1.0,1.0,22419.6,10214.4,8348.450144509592,12522.675216764384,12.522675216764387,925.925925925926,58.14740498573997,54501.72136740242,4352.242665723675,1
offgrid_storage,W2_PV4,2,4,5.0,5.0,7.788153725449618,0.10816880174235581,60.72,0.0,1.0,107.73612653538639,168.45612653538637,168.45612653538637,149.464,20.480000000000004,169.94400000000002,169.94400000000002,0.0,0.0,1.0,7.510199999999999,6.022326535386384,13.532526535386383,1.4878734646136422,0.0,1.0,1.0,22419.6,2457.6000000000004,5192.10248363308,7788.153725449618,7.788153725449619,925.925925925926,135.32526535386384,38926.49555408794,4998.167335460584,1
offgrid_storage,W3_PV1,3,1,5.0,5.0,43.24646746987952,0.6006453815261045,60.72,0.0,1.0,598.2428,658.9628,658.9628,271.40000000000003,509.44000000000005,780.8400000000001,660.0349739033625,120.8050260966377,0.15471162606505517,0.8452883739349448,5.56317390336228,4.491,10.05417390336228,1.0721739033624544,0.0,0.8452883739349448,1.0,40710.00000000001,61132.8,28830.978313253014,43246.46746987951,43.24646746987952,925.925925925926,100.5417390336228,174989.95991556198,4046.3411268779287,1
offgrid_storage,W3_PV2,3,2,5.0,5.0,33.31408379063093,0.4626956082032074,60.72,0.0,1.0,460.84482577039455,521.5648257703946,521.5648257703946,271.40000000000003,250.88,522.28,522.28,0.0,0.0,1.0,3.7264000000000097,3.0112257703945517,6.737625770394562,0.7151742296053953,0.0,1.0,1.0,40710.00000000001,30105.6,22209.389193753952,33314.08379063093,33.31408379063093,925.925925925926,67.37625770394563,127365.68925180538,3823.1785106941766,1
