mode,scenario,wind_scenario,pv_scenario,日产氨量,设备利用率,典型日总用电量,常规电负荷用电量,制氨工艺用电量,风电发电量,光伏发电量,新能源发电量,网购电量,上网电量,新能源自发自用电量（物理/政策口径）,新能源自发自用比例（物理/政策口径）,总用电量绿电比例,新能源上网电量比例,风电成本,光伏成本,购电成本,碱性电解槽运维成本,PEM电解槽运维成本,合成氨装置运维成本,余电上网收益,日总成本（扣除售电收益后）,吨氨成本,target_ammonia_t
grid_connected_same_production,W1_PV1,1,1,41.18821079261014,0.5720584832306964,630.4902492977735,60.72,569.7702492977737,252.324,509.44000000000005,761.7640000000001,233.21019999999993,364.4839507022263,397.2800492977738,0.521526416708815,0.630112915687841,0.478473583291185,37848.6,61132.8,79851.17247999998,27458.80719507343,41188.21079261014,41.18821079261014,137738.48497037133,109782.29370810481,2665.3814670629395,41.188210792610136
grid_connected_same_production,W1_PV2,1,2,31.700523785908388,0.44028505258206097,499.24391237173256,60.72,438.52391237173265,252.324,250.88,503.204,247.2901999999999,251.25028762826727,251.95371237173273,0.5006989458981501,0.5046705750998327,0.4993010541018499,37848.6,30105.6,84672.16447999998,21133.68252393892,31700.523785908386,31.700523785908388,94947.4836947222,110544.78761891098,3487.1596559565583,31.700523785908384
grid_connected_same_production,W1_PV3,1,3,19.939726416854025,0.27694064467852814,336.55288209981404,60.72,275.832882099814,252.324,85.12,337.444,208.21688209981437,209.10800000000054,128.33599999999947,0.38031791941773885,0.38132491749673353,0.6196820805822612,37848.6,10214.4,71293.46043097644,13293.150944569352,19939.726416854028,19.93972641685403,79021.91320000021,73587.36431881646,3690.4901692440894,19.939726416854025
grid_connected_same_production,W1_PV4,1,4,15.247897497849296,0.21177635413679577,271.64924872024864,60.72,210.9292487202486,252.324,20.480000000000004,272.80400000000003,167.4072487202485,168.5620001690134,104.24199983098663,0.38211316487656566,0.383737486196171,0.6178868351234343,37848.6,2457.6000000000004,57320.241961813095,10165.2649985662,15247.897497849295,15.247897497849296,63699.57986387017,59355.27249185626,3892.6856965183742,15.247897485631455
grid_connected_same_production,W2_PV1,2,1,37.07216765700489,0.5148912174584013,573.5516525885677,60.72,512.8316525885676,149.464,509.44000000000005,658.904,263.2564,348.6087474114323,310.2952525885677,0.4709263452469065,0.5410066402705587,0.5290736547530935,22419.6,61132.8,90175.61435999999,24714.77843800326,37072.16765700489,37.07216765700489,131739.24564678027,103812.78697588487,2800.2890992609423,37.0721676570049
grid_connected_same_production,W2_PV2,2,2,24.50560419063876,0.3403556137588717,399.7141913038362,60.72,338.99419130383615,149.464,250.88,400.344,277.33639999999997,277.9662086961638,122.3777913038362,0.30568159209039275,0.30616323854964844,0.6943184079096072,22419.6,30105.6,94996.60635999999,16337.069460425839,24505.604190638758,24.50560419063876,105043.4302662803,83345.55534897493,3401.081430214778,24.505604190638763
grid_connected_same_production,W2_PV3,2,3,12.522675216764394,0.17392604467728326,233.95034049857412,60.72,173.2303404985741,149.464,85.12,234.584,145.94019999999998,146.57385950142606,88.01014049857395,0.3751753764049293,0.3761915469369037,0.6248246235950706,22419.6,10214.4,50006.547479999994,8348.450144509596,12522.675216764394,12.522675216764394,55390.261505588904,48133.93401090184,3843.7421060368815,12.522675216764384
grid_connected_same_production,W2_PV4,2,4,7.788153725449614,0.10816880174235574,168.45612653538632,60.72,107.73612653538632,149.464,20.480000000000004,169.94400000000002,95.07652653538626,96.56439999999992,73.3796000000001,0.43178694158075653,0.4356006605944711,0.5682130584192434,22419.6,2457.6000000000004,32590.82568571626,5192.102483633076,7788.153725449614,7.7881537254496145,36491.686759999975,33964.38328852441,4361.031444145465,7.788153725449618
grid_connected_same_production,W3_PV1,3,1,43.24646746987951,0.6006453815261044,658.9627999999999,60.72,598.2428,271.40000000000003,509.44000000000005,780.8400000000001,223.32619999999997,345.20340000000004,435.6366000000001,0.5579076379283848,0.6610943743713609,0.4420923620716152,40710.00000000001,61132.8,76466.89087999999,28830.978313253006,43246.46746987951,43.24646746987951,130452.36486000002,119978.01827060238,2774.284821162912,43.24646746987952
grid_connected_same_production,W3_PV2,3,2,33.31408379063093,0.4626956082032074,521.5648257703945,60.72,460.8448257703945,271.40000000000003,250.88,522.28,237.40619999999996,238.12137422960546,284.1586257703945,0.544073343360639,0.5448193814655132,0.45592665663936105,40710.00000000001,30105.6,81287.88287999999,22209.389193753952,33314.08379063093,33.31408379063093,89986.06732136791,117674.20262680762,3532.2659139106104,33.31408379063093
grid_connected_same_production,W3_PV3,3,3,21.383132530120477,0.29698795180722887,356.51999999999987,60.72,295.79999999999995,271.40000000000003,85.12,356.52000000000004,210.63619999999995,210.63620000000003,145.8838,0.4091882643329967,0.40918826433299693,0.5908117356670033,40710.00000000001,10214.4,72121.83487999998,14255.421686746984,21383.132530120478,21.383132530120477,79599.41998000002,79106.75224939753,3699.4931466644107,21.383132530120484
grid_connected_same_production,W3_PV4,3,4,16.71036144578307,0.23208835341365378,291.8799999999992,60.72,231.1599999999992,271.40000000000003,20.480000000000004,291.88000000000005,165.20399999999972,165.20400000000006,126.67599999999999,0.4340002740852404,0.43400027408524167,0.5659997259147596,40710.00000000001,2457.6000000000004,56565.84959999989,11140.240963855384,16710.361445783074,16.71036144578307,62430.59160000002,65170.17077108412,3899.9857054276995,16.710361445783136
